"","participant","context","environment","nLL","kernel","acq","R2","kError","lambda","beta","tau","p","ModelName","contextOrder","meanScore"
"1",1,"Conceptual","Rough",364.646326745215,"BMT","UCB",0.487257848661113,2.68687789763927,NA,0.0867842274681649,0.0401259091353999,NA,"BMT-UCB","Spatial First",81.535
"2",1,"Conceptual","Rough",388.98548946371,"SimKernel","UCB",0.453033687497992,NA,0.272470267614805,0.216005218404179,0.0418761509779573,0.476069439172339,"SimKernel-UCB","Spatial First",81.535
"3",1,"Conceptual","Rough",387.474335887065,"RBF","UCB",0.455158574214411,NA,0.520558353907725,0.221355153039038,0.0432462394849068,NA,"RBF-UCB","Spatial First",81.535
"4",1,"Spatial","Rough",531.895095972385,"BMT","UCB",0.252083414003393,3.69254952919572,NA,0.189797060731985,0.0272809916293652,NA,"BMT-UCB","Spatial First",78.375
"5",1,"Spatial","Rough",487.481115537716,"SimKernel","UCB",0.314535489363272,NA,0.838064840347069,0.160945561692313,0.0664535322131191,1.38427581968267,"SimKernel-UCB","Spatial First",78.375
"6",1,"Spatial","Rough",485.867855194332,"RBF","UCB",0.316803952030974,NA,0.953290334560277,0.14184440300399,0.0706500217485385,NA,"RBF-UCB","Spatial First",78.375
"7",10,"Conceptual","Rough",542.124500074185,"SimKernel","UCB",0.237699485573649,NA,4.92187737211902,0.00673794700075788,0.0879010509164728,1.24955313805053,"SimKernel-UCB","Conceptual First",69.68
"8",10,"Conceptual","Rough",597.963534542291,"BMT","UCB",0.159182235948733,2.67205647627979,NA,0.0533768850243692,0.0621041566856526,NA,"BMT-UCB","Conceptual First",69.68
"9",10,"Conceptual","Rough",555.61156214464,"RBF","UCB",0.218734848570523,NA,1.7523493472795,0.00673794699913082,0.100038011962824,NA,"RBF-UCB","Conceptual First",69.68
"10",10,"Spatial","Rough",414.943787270228,"SimKernel","UCB",0.416532802980075,NA,0.904996702067082,0.180484027661605,0.0526750918731558,1.14412244563655,"SimKernel-UCB","Conceptual First",78.125
"11",10,"Spatial","Rough",490.353219212323,"BMT","UCB",0.31049692237665,4.31862738455136,NA,0.237336273453574,0.0157152678304696,NA,"BMT-UCB","Conceptual First",78.125
"12",10,"Spatial","Rough",419.165381941604,"RBF","UCB",0.410596668772436,NA,1.0488322659561,0.153089039526384,0.0596857103096794,NA,"RBF-UCB","Conceptual First",78.125
"13",102,"Conceptual","Rough",414.134693147675,"BMT","UCB",0.417670498962745,1.32434977895189,NA,0.00673794699908551,0.0615536027843654,NA,"BMT-UCB","Conceptual First",73.105
"14",102,"Conceptual","Rough",367.603974600582,"RBF","UCB",0.483098994963613,NA,0.957670497130871,0.00673794699909668,0.0586749336000518,NA,"RBF-UCB","Conceptual First",73.105
"15",102,"Conceptual","Rough",367.735716405459,"SimKernel","UCB",0.482913748132645,NA,0.920739024474157,0.00673794699980642,0.0586749167728105,1.98337777705988,"SimKernel-UCB","Conceptual First",73.105
"16",102,"Spatial","Rough",247.905109517248,"BMT","UCB",0.651411820554026,8.46820867752763,NA,0.0102505470074494,0.00807604129470571,NA,"BMT-UCB","Conceptual First",82.01
"17",102,"Spatial","Rough",277.001558290393,"RBF","UCB",0.610498270502861,NA,1.07395860900687,0.0383547653965611,0.0450896958864629,NA,"RBF-UCB","Conceptual First",82.01
"18",102,"Spatial","Rough",281.579052641868,"SimKernel","UCB",0.604061693114391,NA,1.15338788325493,0.0383545161613013,0.0427995453298368,1.26924493248441,"SimKernel-UCB","Conceptual First",82.01
"19",104,"Conceptual","Smooth",691.072019196082,"RBF","UCB",0.0282590887024262,NA,148.413159101676,0.00673794700078741,0.20748404784905,NA,"RBF-UCB","Conceptual First",59.755
"20",104,"Conceptual","Smooth",693.783528491106,"BMT","UCB",0.0244463391768367,2.02854237751373,NA,0.00673794699908977,0.145304852145674,NA,"BMT-UCB","Conceptual First",59.755
"21",104,"Conceptual","Smooth",681.639068909595,"SimKernel","UCB",0.0415230951344608,NA,1.07620234016902,0.00673794700908135,0.194620789144347,1.0175894146086,"SimKernel-UCB","Conceptual First",59.755
"22",104,"Spatial","Smooth",484.271911027238,"RBF","UCB",0.31904806580817,NA,1.29204950746196,0.0122066118680012,0.07548393201084,NA,"RBF-UCB","Conceptual First",80.595
"23",104,"Spatial","Smooth",548.516766816014,"BMT","UCB",0.228711092271041,1.51984821672041,NA,0.0147910083316243,0.0861306795270667,NA,"BMT-UCB","Conceptual First",80.595
"24",104,"Spatial","Smooth",479.525950738487,"SimKernel","UCB",0.325721529134522,NA,1.70271702324018,0.00673794700628374,0.0658830315514864,1.15129422720147,"SimKernel-UCB","Conceptual First",80.595
"25",105,"Conceptual","Rough",522.371388347729,"BMT","UCB",0.265475037552094,1.91892798337663,NA,0.0628605244181895,0.0588821780542089,NA,"BMT-UCB","Spatial First",70.695
"26",105,"Conceptual","Rough",503.760537105443,"SimKernel","UCB",0.291644416493583,NA,0.99524187608135,0.0225313251509438,0.0783481230433687,0.566728111566953,"SimKernel-UCB","Spatial First",70.695
"27",105,"Conceptual","Rough",518.568913804468,"RBF","UCB",0.270821832061518,NA,0.754004547126822,0.0487874688718051,0.0811702980181633,NA,"RBF-UCB","Spatial First",70.695
"28",105,"Spatial","Rough",617.842075897405,"BMT","UCB",0.131230312914494,1.49686135565844,NA,0.00673794699910249,0.101829134795591,NA,"BMT-UCB","Spatial First",69.285
"29",105,"Spatial","Rough",571.119277805431,"SimKernel","UCB",0.196928898785593,NA,1.29247083523329,0.0567737064197922,0.0899706390971344,1.21895793442773,"SimKernel-UCB","Spatial First",69.285
"30",105,"Spatial","Rough",613.031320518257,"RBF","UCB",0.137994886918809,NA,1.34255894611701,0.0424976761253757,0.101658221185952,NA,"RBF-UCB","Spatial First",69.285
"31",106,"Conceptual","Rough",424.932632760389,"BMT","UCB",0.402487132558183,0.997532667858239,NA,0.0067379469990855,0.0778304316109789,NA,"BMT-UCB","Conceptual First",74.845
"32",106,"Conceptual","Rough",387.523481800666,"SimKernel","UCB",0.455089468399761,NA,0.975649121803965,0.00673794714409791,0.0690357633139909,1.47684272575426,"SimKernel-UCB","Conceptual First",74.845
"33",106,"Conceptual","Rough",386.632812363899,"RBF","UCB",0.456341870329093,NA,0.993202476253477,0.00673794699910987,0.0696308698113988,NA,"RBF-UCB","Conceptual First",74.845
"34",106,"Spatial","Rough",333.03556578225,"BMT","UCB",0.531706862384306,3.27496156274943,NA,0.126873662864029,0.0266602229342158,NA,"BMT-UCB","Conceptual First",81.225
"35",106,"Spatial","Rough",324.702801997472,"SimKernel","UCB",0.543423857500484,NA,0.398660812124031,0.205315382623935,0.0353282568437661,0.812188318961045,"SimKernel-UCB","Conceptual First",81.225
"36",106,"Spatial","Rough",329.196806973744,"RBF","UCB",0.537104677487816,NA,0.619503415516209,0.211405438384641,0.0364488026683383,NA,"RBF-UCB","Conceptual First",81.225
"37",107,"Conceptual","Smooth",241.384151268868,"BMT","UCB",0.660581171554788,4.86785779545846,NA,0.0116827632138717,0.0211439686918902,NA,"BMT-UCB","Spatial First",86.46
"38",107,"Conceptual","Smooth",251.194223017488,"SimKernel","UCB",0.646786881240462,NA,0.784594244244901,0.100761547680723,0.0379988810913296,0.367505629393154,"SimKernel-UCB","Spatial First",86.46
"39",107,"Conceptual","Smooth",274.578247959277,"RBF","UCB",0.613905773229211,NA,0.776546140309873,0.0900874441228565,0.0494819741836862,NA,"RBF-UCB","Spatial First",86.46
"40",107,"Spatial","Smooth",295.871639769286,"BMT","UCB",0.583964378718484,5.76667574769972,NA,0.290181006400933,0.00673794699908597,NA,"BMT-UCB","Spatial First",89.325
"41",107,"Spatial","Smooth",307.736974118443,"SimKernel","UCB",0.567280110663886,NA,6.06057593103108,0.134087387448428,0.019948316088395,0.925385319007574,"SimKernel-UCB","Spatial First",89.325
"42",107,"Spatial","Smooth",346.114078151956,"RBF","UCB",0.513316701626041,NA,1.71883962292652,0.178828503761162,0.0300817327925447,NA,"RBF-UCB","Spatial First",89.325
"43",109,"Conceptual","Rough",613.130373636933,"RBF","UCB",0.137855604810526,NA,0.989918627269403,0.00673794699909061,0.111382956124926,NA,"RBF-UCB","Spatial First",60.585
"44",109,"Conceptual","Rough",613.143486176627,"SimKernel","UCB",0.137837166802738,NA,0.979939828583353,0.00673794699920638,0.111382904878974,1.99999999997528,"SimKernel-UCB","Spatial First",60.585
