"","participant","context","environment","leaveoutindex","nLL","R2","kernel","acq","kError","lambda","beta","tau","p","roundnLL","contextOrder","meanScore"
"1",1,"Conceptual","Rough",1,364.646326745215,0.487257848661113,"BMT","UCB",2.58344836615065,NA,0.0843629269824077,0.041496615428723,NA,77.864192534431,"Spatial First",81.535
"2",1,"Conceptual","Rough",2,364.646326745215,0.487257848661113,"BMT","UCB",2.65110470108194,NA,0.0867842274681649,0.0417166349939534,NA,27.7925948635064,"Spatial First",81.535
"3",1,"Conceptual","Rough",3,364.646326745215,0.487257848661113,"BMT","UCB",2.70319366956709,NA,0.0858358559869951,0.0419161610366951,NA,19.4959568043245,"Spatial First",81.535
"4",1,"Conceptual","Rough",4,364.646326745215,0.487257848661113,"BMT","UCB",2.68687789763927,NA,0.0860709275816953,0.0397003201431172,NA,49.4993638526282,"Spatial First",81.535
"5",1,"Conceptual","Rough",5,364.646326745215,0.487257848661113,"BMT","UCB",2.72268085203415,NA,0.0839903757189405,0.0418585407064657,NA,27.4789534915231,"Spatial First",81.535
"6",1,"Conceptual","Rough",6,364.646326745215,0.487257848661113,"BMT","UCB",2.63954095979193,NA,0.117005184143556,0.0379953316247806,NA,11.4152316226108,"Spatial First",81.535
"7",1,"Conceptual","Rough",7,364.646326745215,0.487257848661113,"BMT","UCB",2.93141700460389,NA,0.114828787168451,0.0340123912183252,NA,48.5120990498781,"Spatial First",81.535
"8",1,"Conceptual","Rough",8,364.646326745215,0.487257848661113,"BMT","UCB",3.24030457254495,NA,0.10579419728354,0.0316637245987174,NA,68.7880498930386,"Spatial First",81.535
"9",1,"Conceptual","Rough",9,364.646326745215,0.487257848661113,"BMT","UCB",2.54180541273329,NA,0.0949383208289304,0.0401259091353999,NA,33.7998846332742,"Spatial First",81.535
"10",1,"Conceptual","Rough",8,388.98548946371,0.453033687497992,"SimKernel","UCB",NA,0.254651289119301,0.22631732217506,0.040562622588545,0.456245220363856,55.0453222779641,"Spatial First",81.535
