"","trial","Environment","Context","meanReward","meanSE","Model"
"1",1,"Smooth","Conceptual",46.8057476701599,0.279220828017296,"BMT-UCB"
"2",2,"Smooth","Conceptual",48.839564610939,0.286069142555325,"BMT-UCB"
"3",3,"Smooth","Conceptual",50.1948484938963,0.293709391253906,"BMT-UCB"
"4",4,"Smooth","Conceptual",52.8731393766821,0.299454609945893,"BMT-UCB"
"5",5,"Smooth","Conceptual",54.4599246984649,0.304132835794382,"BMT-UCB"
"6",6,"Smooth","Conceptual",56.2062912339909,0.309951046473936,"BMT-UCB"
"7",7,"Smooth","Conceptual",58.1706821770205,0.309250851306445,"BMT-UCB"
"8",8,"Smooth","Conceptual",59.5018898574625,0.311456102833775,"BMT-UCB"
"9",9,"Smooth","Conceptual",61.3528368309985,0.311104901403268,"BMT-UCB"
"10",10,"Smooth","Conceptual",62.9831152344775,0.307795925604902,"BMT-UCB"
"11",11,"Smooth","Conceptual",63.7498450700487,0.313775707291608,"BMT-UCB"
"12",12,"Smooth","Conceptual",65.2906207877859,0.310747899428382,"BMT-UCB"
"13",13,"Smooth","Conceptual",66.2047253532297,0.309638874860546,"BMT-UCB"
"14",14,"Smooth","Conceptual",67.3293635233353,0.306244396408869,"BMT-UCB"
"15",15,"Smooth","Conceptual",68.6163321337313,0.3043397744107,"BMT-UCB"
"16",16,"Smooth","Conceptual",69.6364295853495,0.302307322991139,"BMT-UCB"
"17",17,"Smooth","Conceptual",70.6513898544595,0.29827018477303,"BMT-UCB"
"18",18,"Smooth","Conceptual",71.2656704468681,0.296939410484452,"BMT-UCB"
"19",19,"Smooth","Conceptual",72.2010685153454,0.292353461807022,"BMT-UCB"
"20",20,"Smooth","Conceptual",72.8268737617845,0.290944361560798,"BMT-UCB"
"21",1,"Smooth","Spatial",46.700613201991,0.274844557677397,"BMT-UCB"
"22",2,"Smooth","Spatial",47.8554921899414,0.282835777230766,"BMT-UCB"
"23",3,"Smooth","Spatial",49.8499341653453,0.291334303958883,"BMT-UCB"
"24",4,"Smooth","Spatial",50.4687862964431,0.295479766925298,"BMT-UCB"
"25",5,"Smooth","Spatial",52.6944509747197,0.301026032864699,"BMT-UCB"
"26",6,"Smooth","Spatial",54.2966876120009,0.307724575414227,"BMT-UCB"
"27",7,"Smooth","Spatial",56.1395245066913,0.312386398207128,"BMT-UCB"
"28",8,"Smooth","Spatial",57.5977313880897,0.317250916772552,"BMT-UCB"
"29",9,"Smooth","Spatial",59.1040848085495,0.315982462334748,"BMT-UCB"
"30",10,"Smooth","Spatial",60.7485376562961,0.318202636238592,"BMT-UCB"
"31",11,"Smooth","Spatial",62.076753024118,0.317515687274197,"BMT-UCB"
"32",12,"Smooth","Spatial",63.852186749262,0.318262646545228,"BMT-UCB"
"33",13,"Smooth","Spatial",65.1749365777269,0.317973791502124,"BMT-UCB"
"34",14,"Smooth","Spatial",66.451434679786,0.315201971360949,"BMT-UCB"
"35",15,"Smooth","Spatial",67.4173499299146,0.316420024072339,"BMT-UCB"
"36",16,"Smooth","Spatial",68.4974138652546,0.314095985170663,"BMT-UCB"
"37",17,"Smooth","Spatial",69.5969170433487,0.311732071224898,"BMT-UCB"
"38",18,"Smooth","Spatial",70.500546690665,0.309947872954911,"BMT-UCB"
"39",19,"Smooth","Spatial",71.3068703668652,0.309965521704623,"BMT-UCB"
"40",20,"Smooth","Spatial",72.4995947048996,0.303519017747092,"BMT-UCB"
"41",1,"Rough","Conceptual",47.9986048665545,0.256986548202154,"BMT-UCB"
"42",2,"Rough","Conceptual",49.4954516919295,0.264996313995423,"BMT-UCB"
"43",3,"Rough","Conceptual",50.8879520644739,0.269985749243107,"BMT-UCB"
"44",4,"Rough","Conceptual",53.1318087312456,0.276602219946484,"BMT-UCB"
"45",5,"Rough","Conceptual",54.7569083728459,0.283806777049267,"BMT-UCB"
"46",6,"Rough","Conceptual",56.2956598460032,0.287969432882094,"BMT-UCB"
"47",7,"Rough","Conceptual",58.1731385188565,0.289539604722386,"BMT-UCB"
"48",8,"Rough","Conceptual",59.0676810544165,0.293333472299866,"BMT-UCB"
"49",9,"Rough","Conceptual",60.8612196971731,0.294901798143962,"BMT-UCB"
"50",10,"Rough","Conceptual",62.8308569067197,0.293771112300057,"BMT-UCB"
"51",11,"Rough","Conceptual",63.3534721109801,0.297246420584389,"BMT-UCB"
"52",12,"Rough","Conceptual",64.5541844431424,0.294436689123329,"BMT-UCB"
"53",13,"Rough","Conceptual",66.0101754020428,0.2906377976088,"BMT-UCB"
"54",14,"Rough","Conceptual",67.104407215569,0.291160800904779,"BMT-UCB"
"55",15,"Rough","Conceptual",67.7918020011315,0.289927269399388,"BMT-UCB"
