"","trial","Environment","Context","meanReward","meanSE","Model"
"1",1,"Smooth","Conceptual",46.6910381363814,0.279869146533337,"GP-UCB"
"2",2,"Smooth","Conceptual",51.9462265640909,0.292342334894861,"GP-UCB"
"3",3,"Smooth","Conceptual",56.9401648217782,0.298243814010802,"GP-UCB"
"4",4,"Smooth","Conceptual",60.7885855733076,0.298235427538599,"GP-UCB"
"5",5,"Smooth","Conceptual",64.1544645305595,0.295388123007087,"GP-UCB"
"6",6,"Smooth","Conceptual",66.4234758190894,0.29366119901291,"GP-UCB"
"7",7,"Smooth","Conceptual",68.8825707983556,0.290073592440492,"GP-UCB"
"8",8,"Smooth","Conceptual",70.6916848874024,0.284119630166584,"GP-UCB"
"9",9,"Smooth","Conceptual",72.2794309736236,0.28078422231206,"GP-UCB"
"10",10,"Smooth","Conceptual",73.9961768722,0.270179358891049,"GP-UCB"
"11",11,"Smooth","Conceptual",74.797472750969,0.270856182109665,"GP-UCB"
"12",12,"Smooth","Conceptual",75.9138170693206,0.266420549909505,"GP-UCB"
"13",13,"Smooth","Conceptual",76.5903330676192,0.268287460170468,"GP-UCB"
"14",14,"Smooth","Conceptual",78.0957609118069,0.256613848459753,"GP-UCB"
"15",15,"Smooth","Conceptual",78.6678122253958,0.254338658755455,"GP-UCB"
"16",16,"Smooth","Conceptual",79.2620629339578,0.252835281487031,"GP-UCB"
"17",17,"Smooth","Conceptual",79.9080844680366,0.248397339155875,"GP-UCB"
"18",18,"Smooth","Conceptual",80.290854144498,0.247783790566265,"GP-UCB"
"19",19,"Smooth","Conceptual",81.1348386644155,0.240431043986076,"GP-UCB"
"20",20,"Smooth","Conceptual",81.2837197677181,0.242365707098876,"GP-UCB"
"21",1,"Smooth","Spatial",46.8349559956358,0.277340178331607,"GP-UCB"
"22",2,"Smooth","Spatial",52.754560624938,0.290423703660645,"GP-UCB"
"23",3,"Smooth","Spatial",59.7124019863121,0.294493599076319,"GP-UCB"
"24",4,"Smooth","Spatial",64.6344623261951,0.292097186790226,"GP-UCB"
