"participant","leaveoutindex","environment","context","kError","beta","tau"
1,1,"Rough","Conceptual",2.58344836615065,0.0843629269824077,0.041496615428723
1,2,"Rough","Conceptual",2.65110470108194,0.0867842274681649,0.0417166349939534
1,3,"Rough","Conceptual",2.70319366956709,0.0858358559869951,0.0419161610366951
1,4,"Rough","Conceptual",2.68687789763927,0.0860709275816953,0.0397003201431172
1,5,"Rough","Conceptual",2.72268085203415,0.0839903757189405,0.0418585407064657
1,6,"Rough","Conceptual",2.63954095979193,0.117005184143556,0.0379953316247806
1,7,"Rough","Conceptual",2.93141700460389,0.114828787168451,0.0340123912183252
1,8,"Rough","Conceptual",3.24030457254495,0.10579419728354,0.0316637245987174
1,9,"Rough","Conceptual",2.54180541273329,0.0949383208289304,0.0401259091353999
1,1,"Rough","Spatial",3.05819928576782,0.16592005698084,0.0333231168916789
1,2,"Rough","Spatial",3.30049921406036,0.166812185482619,0.0327444423671488
1,3,"Rough","Spatial",2.84059052768788,0.161378996676116,0.0345957384002036
1,4,"Rough","Spatial",3.9836261477642,0.207883271180644,0.0226323161760685
1,5,"Rough","Spatial",3.69254952919572,0.198011353017452,0.025770659444157
1,6,"Rough","Spatial",3.78774109969869,0.189797060731985,0.0272809916293652
1,7,"Rough","Spatial",3.97698823580235,0.234122491019648,0.0199042368384121
1,8,"Rough","Spatial",3.87960090014166,0.198374663731325,0.0249429679163464
1,9,"Rough","Spatial",3.36261023201789,0.182231817357977,0.0314330850474464
10,1,"Rough","Conceptual",3.00169135410511,0.0916152504537761,0.0497167963071036
10,2,"Rough","Conceptual",2.77364742792066,0.0475191702264354,0.0610912078511201
10,3,"Rough","Conceptual",2.47354027285431,0.0450581636356024,0.0669052302577481
10,4,"Rough","Conceptual",2.39365897663026,0.0539041222288558,0.0659943969937564
10,5,"Rough","Conceptual",3.18514794051069,0.0874758171568026,0.046672966395678
10,6,"Rough","Conceptual",2.64862630368749,0.0426746326741013,0.0638854244525774
10,7,"Rough","Conceptual",2.31849021307617,0.0533768850243692,0.0677315976079004
10,8,"Rough","Conceptual",2.67205647627979,0.0497143490761399,0.0621041566856526
10,9,"Rough","Conceptual",2.7858031927019,0.0946238035045806,0.0505896881234697
10,1,"Rough","Spatial",4.12726229350544,0.236119921228345,0.0167339499858906
10,2,"Rough","Spatial",4.98513773636983,0.262606935426276,0.0117651338384588
10,3,"Rough","Spatial",4.31862738455136,0.234070881034773,0.0166703992026341
10,4,"Rough","Spatial",5.64817304643552,0.28855693581988,0.00802679892179517
10,5,"Rough","Spatial",4.65465158530286,0.23864494582273,0.0148476945453695
10,6,"Rough","Spatial",4.30432962402794,0.237336273453574,0.0158020187499218
10,7,"Rough","Spatial",4.68761326985765,0.232354461226737,0.015554666172682
10,8,"Rough","Spatial",3.92327898358546,0.235907855217834,0.0157152678304696
10,9,"Rough","Spatial",4.26426328165046,0.237393655430528,0.0165685486938491
102,1,"Rough","Conceptual",0.457126478862096,0.00673794699908549,0.0690738701007094
102,2,"Rough","Conceptual",1.63693593706377,0.00673794699908547,0.0544390587328572
102,3,"Rough","Conceptual",1.2767387642478,0.00673794699908551,0.0627426278964816
102,4,"Rough","Conceptual",1.32434977895189,0.00673794699908551,0.0624846749420882
102,8,"Rough","Conceptual",1.28071530048468,0.0067379469990855,0.0603376017394757
102,9,"Rough","Conceptual",1.33051496010897,0.00673794699908566,0.0615536027843654
102,5,"Rough","Conceptual",1.60034443932145,0.00673794699908576,0.0567914628478636
102,6,"Rough","Conceptual",1.29512186295719,0.0067379469990855,0.0622573737248418
102,7,"Rough","Conceptual",1.40500977165577,0.00673794699908551,0.0567438279773335
102,1,"Rough","Spatial",8.39634491037969,0.0623413038621822,0.00673794699913209
102,2,"Rough","Spatial",6.98718568897364,0.0130866668168463,0.012433986174438
102,3,"Rough","Spatial",6.66186611150141,0.0223508511234629,0.0141040855398027
102,4,"Rough","Spatial",7.22885266779564,0.0127313240579775,0.0118519064295515
102,8,"Rough","Spatial",9.3316079571636,0.00958947069936854,0.00807604129470571
102,9,"Rough","Spatial",8.46820867752763,0.0102505470074494,0.00953159953855924
102,5,"Rough","Spatial",10.2163484124846,0.00673794700379279,0.00673794699908666
102,6,"Rough","Spatial",9.85342395161702,0.00673794701245644,0.00741160488038268
102,7,"Rough","Spatial",9.72377849200234,0.00944950613578518,0.00761674889974639
104,3,"Smooth","Conceptual",1.53803902332519,0.00673794699908659,0.161401412431688
104,4,"Smooth","Conceptual",2.02854237751373,0.00673794699956402,0.145304852145674
104,1,"Smooth","Conceptual",0.374946425029378,0.00673794699908554,0.258837078568599
104,2,"Smooth","Conceptual",2.06184324535109,0.00673794699910572,0.145814613929719
104,7,"Smooth","Conceptual",2.0678435099254,0.00673794699908841,0.144479469981892
104,5,"Smooth","Conceptual",2.00919100523503,0.006737946999088,0.142053068404334
104,6,"Smooth","Conceptual",2.3257593861991,0.00673794699909066,0.129603043718145
104,8,"Smooth","Conceptual",2.38904645961129,0.0067379469991133,0.123657630051734
104,9,"Smooth","Conceptual",1.61426217486145,0.00673794699908977,0.169133818623091
104,3,"Smooth","Spatial",1.55333250136024,0.0163823434482831,0.0858156606490039
104,4,"Smooth","Spatial",1.49433666338417,0.00721358466108349,0.0874470982789402
104,1,"Smooth","Spatial",1.41135855065653,0.00673794699917201,0.0869122915538929
104,2,"Smooth","Spatial",1.56532378952424,0.0670661603943025,0.0688156177243298
104,7,"Smooth","Spatial",1.48581537779985,0.0147910083316243,0.0843290939574376
104,5,"Smooth","Spatial",1.65038912475759,0.00673794699909629,0.0861306795270667
104,6,"Smooth","Spatial",1.51984821672041,0.00682390721818732,0.088492202538756
104,8,"Smooth","Spatial",1.66912913070717,0.0275592054649673,0.0790841775717627
104,9,"Smooth","Spatial",1.48442947012429,0.0157655413115909,0.0893858553533916
105,8,"Rough","Conceptual",1.90992948697048,0.0619977555680803,0.0594655745755601
105,9,"Rough","Conceptual",2.15056034361372,0.0639001870608568,0.0563780746641876
105,6,"Rough","Conceptual",1.74378149010005,0.0628605244181895,0.0592326711961749
105,7,"Rough","Conceptual",1.78858825097279,0.0576626808029674,0.0610948329634718
105,3,"Rough","Conceptual",1.93485365983185,0.0606598050079217,0.0588821780542089
105,4,"Rough","Conceptual",1.96453560161973,0.068507931270803,0.0562124110697205
105,1,"Rough","Conceptual",1.63391943855275,0.0511554915251593,0.063920731926231
105,2,"Rough","Conceptual",1.95880706990823,0.0777148789288414,0.056172239729714
105,5,"Rough","Conceptual",1.91892798337663,0.0698673627955435,0.0570483234803372
105,8,"Rough","Spatial",1.00190612969627,0.00673794699909894,0.121119914560722
105,9,"Rough","Spatial",1.43642248701476,0.00673794699908691,0.107929531462083
105,6,"Rough","Spatial",1.55683501733478,0.0215568742307679,0.0970649033609846
105,7,"Rough","Spatial",1.48692951594751,0.00673794699910249,0.106625585552368
105,3,"Rough","Spatial",1.83490089553401,0.00673794699910045,0.0923088626586911
105,4,"Rough","Spatial",1.4954755480894,0.00673794699913583,0.101829134795591
105,1,"Rough","Spatial",1.49686135565844,0.00673794699910609,0.0985958081417297
105,2,"Rough","Spatial",1.54161126062603,0.0200722852724008,0.0972065720806341
105,5,"Rough","Spatial",1.56390942659215,0.00673794699909209,0.102871063750939
106,1,"Rough","Conceptual",1.23705110090203,0.00673794699908548,0.0665687586101656
106,2,"Rough","Conceptual",1.04651772100182,0.0067379469990855,0.0779297660164971
106,3,"Rough","Conceptual",0.952188545020768,0.00673794699908553,0.0754844040785775
106,4,"Rough","Conceptual",0.162014022501953,0.00673794699908547,0.0779516865049146
106,5,"Rough","Conceptual",0.997532667858239,0.00673794699908558,0.0778304316109789
106,6,"Rough","Conceptual",0.920412795058777,0.00673794699908551,0.0781091123286174
106,7,"Rough","Conceptual",1.09976595238199,0.00673794699908549,0.0735417027912321
106,8,"Rough","Conceptual",1.31199982363726,0.00673794699908549,0.0727315011410563
106,9,"Rough","Conceptual",0.920624717082714,0.00673794699908553,0.079629039324555
106,1,"Rough","Spatial",3.1672753272173,0.137775768784967,0.0250389714344129
106,2,"Rough","Spatial",3.30591492420876,0.126873662864029,0.0266602229342158
106,3,"Rough","Spatial",2.87170913924034,0.125816122341567,0.0288315026120704
106,4,"Rough","Spatial",3.27496156274943,0.112713659542409,0.0290065089862904
106,5,"Rough","Spatial",3.50476188675426,0.200373238948277,0.0183933634352572
106,6,"Rough","Spatial",3.21430742259226,0.124296284112833,0.0278905568549757
106,7,"Rough","Spatial",3.13494728408219,0.122699699789475,0.0283988236923839
106,8,"Rough","Spatial",3.34822654160576,0.142426466466445,0.0236539564748288
106,9,"Rough","Spatial",3.6958212036621,0.142437000469396,0.0222716062850127
107,2,"Smooth","Conceptual",4.38536641333344,0.0118862800748901,0.0234312965825135
107,1,"Smooth","Conceptual",4.86785779545846,0.0105192538782205,0.0211517307943087
107,6,"Smooth","Conceptual",4.9939900394939,0.0106378843744425,0.0206083831259629
107,3,"Smooth","Conceptual",5.04535239941092,0.0110111010882747,0.0203609621539777
107,5,"Smooth","Conceptual",9.04171629738453,0.0116827632138717,0.0067379470080865
107,7,"Smooth","Conceptual",4.60246344428679,0.0123432934262189,0.0221675423347381
107,4,"Smooth","Conceptual",4.63117096750401,0.0118338784394716,0.0221874999251212
107,8,"Smooth","Conceptual",4.08877548822543,0.137602043511633,0.0179579679065838
107,9,"Smooth","Conceptual",4.95577306624379,0.0105315392182382,0.0211439686918902
107,2,"Smooth","Spatial",5.61879492751343,0.290680640002577,0.00673794699908708
107,1,"Smooth","Spatial",5.69277997459298,0.288983083657507,0.00673794699908552
107,6,"Smooth","Spatial",5.73499459087159,0.289952622954362,0.00673794699908555
