"participant","leaveoutindex","environment","context","lambda","beta","tau"
1,8,"Rough","Conceptual",0.500345082049616,0.227559910340682,0.041475556089138
1,9,"Rough","Conceptual",0.518956583429476,0.223445716021052,0.0424616150236311
1,1,"Rough","Conceptual",0.61149656617519,0.221355153039038,0.038937984465034
1,2,"Rough","Conceptual",0.531038464498865,0.216955414157116,0.0445032712637932
1,3,"Rough","Conceptual",0.547159974354945,0.214703375653144,0.045602319784738
1,4,"Rough","Conceptual",0.520558353907725,0.207407094283166,0.0450115552080579
1,5,"Rough","Conceptual",0.547209090158607,0.216442682400935,0.0446622311182442
1,6,"Rough","Conceptual",0.510955985577391,0.24131131614074,0.0432462394849068
1,7,"Rough","Conceptual",0.486250079695747,0.271297143473865,0.0328985864155125
1,8,"Rough","Spatial",0.910716726058607,0.153795339912127,0.0714903980124131
1,9,"Rough","Spatial",1.04271517793503,0.128196574681703,0.0788489113338194
1,1,"Rough","Spatial",1.02320515632445,0.110314130468726,0.0676485720434532
1,2,"Rough","Spatial",0.953654015957969,0.124675145069849,0.073786766312688
1,3,"Rough","Spatial",0.935868303953878,0.120443716352973,0.0671663991953008
1,4,"Rough","Spatial",0.9449838786431,0.162034504054869,0.0692734531279862
1,5,"Rough","Spatial",0.953290334560277,0.154836152481928,0.0706500217485385
1,6,"Rough","Spatial",0.990640389963364,0.14184440300399,0.0757458099635238
1,7,"Rough","Spatial",0.836823149722406,0.181519821115968,0.0673639531869644
10,1,"Rough","Conceptual",1.93146288903233,0.00673794699908582,0.10116855602081
10,2,"Rough","Conceptual",1.7523493472795,0.0067379470036274,0.101849158010485
10,3,"Rough","Conceptual",1.71679289118615,0.00673794699913341,0.105127709471504
10,4,"Rough","Conceptual",1.68434275944225,0.00673794699922819,0.100038011962824
10,5,"Rough","Conceptual",1.71120828485779,0.00673794699912474,0.095111418394796
10,9,"Rough","Conceptual",1.76374656656358,0.00673794699913082,0.0926640028615513
10,6,"Rough","Conceptual",1.95556836865033,0.00673794699909912,0.096327260467404
10,7,"Rough","Conceptual",1.72574624863106,0.00673794699909444,0.0980480600526213
10,8,"Rough","Conceptual",2.0143861802,0.00673794699929027,0.104315289724544
10,1,"Rough","Spatial",1.06595125112603,0.142762248398712,0.06111216573863
10,2,"Rough","Spatial",1.0456410639499,0.153089039526384,0.0577177189042814
10,3,"Rough","Spatial",1.02168353237754,0.173939321327659,0.0596857103096794
10,4,"Rough","Spatial",1.11557066546314,0.145847526176198,0.0598958801212681
10,5,"Rough","Spatial",0.922406532452578,0.175964785370272,0.056713716838117
10,9,"Rough","Spatial",0.991781027837976,0.166539452152584,0.061832015633745
10,6,"Rough","Spatial",1.09387590918497,0.13598037988365,0.0601113603745953
10,7,"Rough","Spatial",1.0488322659561,0.178098318965996,0.0587404980907193
10,8,"Rough","Spatial",1.06355267991534,0.12955053169359,0.0585247003053266
102,1,"Rough","Conceptual",0.988779556007304,0.00673794699947891,0.05704518473508
102,2,"Rough","Conceptual",0.881246666909614,0.00673794699910517,0.0588964577715537
102,3,"Rough","Conceptual",0.966756368587837,0.00673794699909164,0.0595595076076997
102,4,"Rough","Conceptual",0.957670497130871,0.00673794699908654,0.0598518408654877
102,5,"Rough","Conceptual",0.935861675673281,0.00673794699911498,0.0586749336000518
102,6,"Rough","Conceptual",0.986911538400908,0.00673794699909668,0.0587962240290103
102,7,"Rough","Conceptual",0.942403979749916,0.00673794699909019,0.0558608427254605
102,8,"Rough","Conceptual",0.918696440191124,0.00673794699909161,0.0580037575619903
102,9,"Rough","Conceptual",0.969119058020404,0.00673794699927756,0.0580701771785628
102,1,"Rough","Spatial",1.03850280220142,0.0385672818473324,0.0438593263550272
102,2,"Rough","Spatial",1.00480386652866,0.03736681060671,0.0450896958864629
102,3,"Rough","Spatial",1.07395860900687,0.0592473940373594,0.0414978167441381
102,4,"Rough","Spatial",0.997767908678088,0.0361785364480204,0.0461807892712433
102,5,"Rough","Spatial",1.1637025286235,0.0383547653965611,0.0450829436656417
102,6,"Rough","Spatial",1.15882639271739,0.0236426086200009,0.0459391027099919
102,7,"Rough","Spatial",1.13609747285304,0.046088418234031,0.0456566541423045
102,8,"Rough","Spatial",1.08301116672352,0.036621907392528,0.046537328609201
102,9,"Rough","Spatial",1.06594038041459,0.0456968525202161,0.0412168268832307
104,3,"Smooth","Conceptual",0.981553054962517,0.00673794861000535,0.205882051801647
104,6,"Smooth","Conceptual",148.413159102528,0.0067379469999148,0.210754926940932
104,7,"Smooth","Conceptual",148.413159101676,0.00673794699998576,0.207542264756908
104,4,"Smooth","Conceptual",148.413159100984,0.00673794699956405,0.20748404784905
104,1,"Smooth","Conceptual",148.413159101865,0.00673794700320073,0.222528236927155
104,2,"Smooth","Conceptual",148.413159101676,0.00673794700078741,0.215587241538958
104,8,"Smooth","Conceptual",148.413159101962,0.00673794700071282,0.199359347628247
104,5,"Smooth","Conceptual",148.413159100202,0.00673794700442044,0.20433666412622
104,9,"Smooth","Conceptual",1.287483087091,0.00673794700169139,0.195082323328625
104,3,"Smooth","Spatial",1.39900106591889,0.00673794699935087,0.07548393201084
104,6,"Smooth","Spatial",1.29204950746196,0.00673794700644333,0.0759214335302314
104,7,"Smooth","Spatial",1.19196379917415,0.0122066118680012,0.0754657249118935
104,4,"Smooth","Spatial",1.23483170239378,0.0125691167847687,0.0727110547505352
104,1,"Smooth","Spatial",1.41999089463811,0.00673794699935598,0.0671052960809444
104,2,"Smooth","Spatial",1.31532315734385,0.0174647594652576,0.0732775469707865
104,8,"Smooth","Spatial",1.2638064263561,0.00673794699909256,0.0763581343930386
104,5,"Smooth","Spatial",1.17832844816269,0.0156677008346783,0.0763746301764393
104,9,"Smooth","Spatial",1.37124701200445,0.0176810124691848,0.0773230488792322
105,1,"Rough","Conceptual",0.742754080919486,0.0413544685844188,0.0826640248532935
105,8,"Rough","Conceptual",0.754004547126822,0.045613617724199,0.0839264183194063
105,9,"Rough","Conceptual",0.779074176237865,0.0488615410778516,0.0868155816912133
105,3,"Rough","Conceptual",0.645990244457065,0.0917264284211628,0.0762607395411231
105,7,"Rough","Conceptual",0.855030274429451,0.0370193894977567,0.0811702980181633
105,4,"Rough","Conceptual",0.675214084014829,0.0981145947759771,0.0737016544380737
105,5,"Rough","Conceptual",0.759745525367322,0.0449135357387147,0.0836676115788037
105,6,"Rough","Conceptual",0.777901205947465,0.0487874688718051,0.0804710216117539
105,2,"Rough","Conceptual",0.667642855357906,0.106344182342961,0.0756312408413048
105,1,"Rough","Spatial",1.24833015954276,0.0329724663568955,0.094205976469082
