"","trial","Environment","Context","meanReward","meanSE","Model"
"1",1,"Smooth","Spatial",46.9109773685351,0.277829206491631,"Random"
"2",2,"Smooth","Spatial",46.744510636678,0.277761640131103,"Random"
"3",3,"Smooth","Spatial",46.455298865422,0.27683661181753,"Random"
"4",4,"Smooth","Spatial",47.0520581743032,0.278018655010572,"Random"
"5",5,"Smooth","Spatial",46.8231800501524,0.277531065010458,"Random"
"6",6,"Smooth","Spatial",47.1014737776807,0.277808171628715,"Random"
"7",7,"Smooth","Spatial",46.9811245729789,0.279480335835731,"Random"
"8",8,"Smooth","Spatial",46.9676730749245,0.278265776072362,"Random"
"9",9,"Smooth","Spatial",46.5106168976055,0.279635116002096,"Random"
"10",10,"Smooth","Spatial",46.7207387659936,0.279647351910429,"Random"
"11",11,"Smooth","Spatial",47.0798658723383,0.276985193261444,"Random"
"12",12,"Smooth","Spatial",46.8036002473797,0.278590718041461,"Random"
"13",13,"Smooth","Spatial",46.6264138449105,0.277013446008576,"Random"
"14",14,"Smooth","Spatial",46.2716492428333,0.278653423437714,"Random"
"15",15,"Smooth","Spatial",47.001165626098,0.279652932561916,"Random"
"16",16,"Smooth","Spatial",46.859328299961,0.27816486006558,"Random"
"17",17,"Smooth","Spatial",46.7170794082692,0.278082157123038,"Random"
"18",18,"Smooth","Spatial",47.0895129948977,0.281067846396912,"Random"
"19",19,"Smooth","Spatial",46.7616000565159,0.279380332190521,"Random"
"20",20,"Smooth","Spatial",46.8796595326725,0.277770223822364,"Random"
"21",1,"Rough","Spatial",47.456825448078,0.255871817684161,"Random"
"22",2,"Rough","Spatial",47.4560802210292,0.255359078197905,"Random"
"23",3,"Rough","Spatial",46.987371030629,0.25472091772198,"Random"
"24",4,"Rough","Spatial",47.2021915415561,0.258386232149085,"Random"
"25",5,"Rough","Spatial",47.3539235521152,0.258203769147321,"Random"
"26",6,"Rough","Spatial",47.3369118452399,0.253646671666337,"Random"
"27",7,"Rough","Spatial",47.5402937464861,0.255487774482943,"Random"
"28",8,"Rough","Spatial",47.4251445402282,0.254216685778295,"Random"
"29",9,"Rough","Spatial",47.4284069246356,0.257689134496082,"Random"
"30",10,"Rough","Spatial",47.207649163199,0.256916467869387,"Random"
"31",11,"Rough","Spatial",46.8927100484384,0.255839459482778,"Random"
"32",12,"Rough","Spatial",47.3065968116195,0.256425975273901,"Random"
"33",13,"Rough","Spatial",47.3845191487097,0.25496081788402,"Random"
"34",14,"Rough","Spatial",47.2507811590092,0.256854085932321,"Random"
"35",15,"Rough","Spatial",47.3822098182067,0.254057666344779,"Random"
"36",16,"Rough","Spatial",47.3139984569159,0.255820046390492,"Random"
"37",17,"Rough","Spatial",47.4586598885299,0.25431444496385,"Random"
"38",18,"Rough","Spatial",47.1492810418291,0.252946659892946,"Random"
"39",19,"Rough","Spatial",47.6253147724042,0.257855327160994,"Random"
"40",20,"Rough","Spatial",47.3604345888235,0.256972373492441,"Random"
